Entity,Code,Year,GDP per capita
Afghanistan,AFG,2018,1934.555054
Albania,ALB,2018,11104.16602
Algeria,DZA,2018,14228.02539
Angola,AGO,2018,7771.441895
Argentina,ARG,2018,18556.38281
Armenia,ARM,2018,11454.4248
Australia,AUS,2018,49830.80078
Austria,AUT,2018,42988.07031
Azerbaijan,AZE,2018,16628.05469
Bahrain,BHR,2018,39498.76563
Bangladesh,BGD,2018,4099.25293
Barbados,BRB,2018,11995.18652
Belarus,BLR,2018,18727.31836
Belgium,BEL,2018,39756.20313
Benin,BEN,2018,2220.176514
Bolivia,BOL,2018,6695.774414
Bosnia and Herzegovina,BIH,2018,10460.52051
Botswana,BWA,2018,15842.12988
Brazil,BRA,2018,14033.56543
Bulgaria,BGR,2018,18444.25977
Burkina Faso,BFA,2018,1589.624146
Burundi,BDI,2018,651.3588867
Cambodia,KHM,2018,3628.561035
Cameroon,CMR,2018,2888.045898
Canada,CAN,2018,44868.74219
Cape Verde,CPV,2018,6831.21582
Central African Republic,CAF,2018,623.4888916
Chad,TCD,2018,2046.363159
Chile,CHL,2018,22104.76563
China,CHN,2018,13101.70605
Colombia,COL,2018,13545.0498
Comoros,COM,2018,1724.420654
Congo,COG,2018,5714.591797
Costa Rica,CRI,2018,14686.25391
Cote d'Ivoire,CIV,2018,3713.643555
Croatia,HRV,2018,22012.31445
Cuba,CUB,2018,8325.630859
Cyprus,CYP,2018,27184.41602
Czechia,CZE,2018,30748.50781
Czechoslovakia,OWID_CZS,2018,29600.59766
Democratic Republic of Congo,COD,2018,859.3817139
Denmark,DNK,2018,46312.34375
Djibouti,DJI,2018,3295.681396
Dominica,DMA,2018,9021.173828
Dominican Republic,DOM,2018,15912.39941
East Asia,,2018,16326.95313
Eastern Europe,,2018,20680.58594
Ecuador,ECU,2018,10638.8252
Egypt,EGY,2018,11957.21191
El Salvador,SLV,2018,8598.198242
Equatorial Guinea,GNQ,2018,28528.95313
Estonia,EST,2018,27408.66406
Eswatini,SWZ,2018,8068.211914
Ethiopia,ETH,2018,1838.490356
Finland,FIN,2018,38896.69922
Former Sudan,,2018,3379.595703
France,FRA,2018,38515.91797
Gabon,GAB,2018,17613.55664
Gambia,GMB,2018,1882.239868
Georgia,GEO,2018,11984.90527
Germany,DEU,2018,46177.61719
Ghana,GHA,2018,4267.066895
Greece,GRC,2018,23450.76563
Guatemala,GTM,2018,7402.114746
Guinea,GIN,2018,1606.466553
Guinea-Bissau,GNB,2018,1501.413574
Haiti,HTI,2018,1729.043213
Honduras,HND,2018,5041.635254
Hong Kong,HKG,2018,50839.37109
Hungary,HUN,2018,25622.8125
Iceland,ISL,2018,43438.54297
India,IND,2018,6806.498535
Indonesia,IDN,2018,11851.7373
Iran,IRN,2018,17011.30469
Iraq,IRQ,2018,12835.8125
Ireland,IRL,2018,64684.30078
Israel,ISR,2018,32954.76953
Italy,ITA,2018,34364.16797
Jamaica,JAM,2018,7272.980469
Japan,JPN,2018,38673.80859
Jordan,JOR,2018,11506.33789
Kazakhstan,KAZ,2018,25307.55469
Kenya,KEN,2018,3377.470459
Kuwait,KWT,2018,65520.73828
Kyrgyzstan,KGZ,2018,5176.988281
Laos,LAO,2018,6450.906738
Latin America,,2018,14076.04395
Latvia,LVA,2018,24312.67773
Lebanon,LBN,2018,12558.9668
Lesotho,LSO,2018,2731.466064
Liberia,LBR,2018,818.4210815
Libya,LBY,2018,15013.3125
Lithuania,LTU,2018,27370.55469
Luxembourg,LUX,2018,57427.5
Madagascar,MDG,2018,1427.600342
Malawi,MWI,2018,1116.640259
Malaysia,MYS,2018,24842.35547
Mali,MLI,2018,1667.295044
Malta,MLT,2018,32028.91211
Mauritania,MRT,2018,3457.514893
Mauritius,MUS,2018,20138.57227
Mexico,MEX,2018,16494.07813
Middle East,,2018,18429.74023
Moldova,MDA,2018,6746.728516
Mongolia,MNG,2018,13382.54199
Montenegro,MNE,2018,19504.1582
Morocco,MAR,2018,8451.135742
Mozambique,MOZ,2018,1132.770874
Myanmar,MMR,2018,5838.217285
Namibia,NAM,2018,9043.120117
Nepal,NPL,2018,2727.423828
Netherlands,NLD,2018,47474.10938
New Zealand,NZL,2018,35336.13672
Nicaragua,NIC,2018,4952.477051
Niger,NER,2018,964.6600952
Nigeria,NGA,2018,5237.662109
North Korea,PRK,2018,1596.351685
North Macedonia,MKD,2018,13074.23145
Norway,NOR,2018,84580.13281
Oman,OMN,2018,36477.63672
Pakistan,PAK,2018,5510.396484
Palestine,PSE,2018,5207.756836
Panama,PAN,2018,22637.14844
Paraguay,PRY,2018,9338.948242
Peru,PER,2018,12310.08496
Philippines,PHL,2018,8139.139648
Poland,POL,2018,27455.23633
Portugal,PRT,2018,27035.59961
Puerto Rico,PRI,2018,35076.29297
Qatar,QAT,2018,153764.1719
Romania,ROU,2018,20126.29297
Russia,RUS,2018,24668.9082
Rwanda,RWA,2018,1929.285156
Saint Lucia,LCA,2018,10475.36914
Sao Tome and Principe,STP,2018,3730.20459
Saudi Arabia,SAU,2018,50304.75
Senegal,SEN,2018,2617.124512
Serbia,SRB,2018,14124.11816
Seychelles,SYC,2018,29531.06055
Sierra Leone,SLE,2018,1683.849731
Singapore,SGP,2018,68402.34375
Slovakia,SVK,2018,27075.53516
Slovenia,SVN,2018,29244.91992
South Africa,ZAF,2018,12165.79492
South Korea,KOR,2018,37927.60938
South and South-East Asia,,2018,7648.664063
Spain,ESP,2018,31496.51953
Sri Lanka,LKA,2018,11662.90625
Sub-Sahara Africa,,2018,3532.373291
Sweden,SWE,2018,45541.89063
Switzerland,CHE,2018,61372.73047
Syria,SYR,2018,3349.459717
Taiwan,TWN,2018,44663.86328
Tajikistan,TJK,2018,4440.381836
Tanzania,TZA,2018,2874.962891
Thailand,THA,2018,16648.62305
Togo,TGO,2018,1451.36084
Trinidad and Tobago,TTO,2018,28549.4082
Tunisia,TUN,2018,11353.88672
Turkey,TUR,2018,19270.2207
Turkmenistan,TKM,2018,26318.36523
USSR,OWID_USS,2018,19539.14648
Uganda,UGA,2018,2045.420288
Ukraine,UKR,2018,9813.363281
United Arab Emirates,ARE,2018,76397.82031
United Kingdom,GBR,2018,38058.08594
United States,USA,2018,55334.73828
Uruguay,URY,2018,20185.83594
Uzbekistan,UZB,2018,11220.37012
Venezuela,VEN,2018,10709.9502
Vietnam,VNM,2018,6814.14209
Western Europe,,2018,39789.89844
Western Offshoots,,2018,53756.49609
World,OWID_WRL,2018,15212.41504
Yemen,YEM,2018,2284.889893
Yugoslavia,OWID_YGS,2018,16558.3125
Zambia,ZMB,2018,3534.033691
Zimbabwe,ZWE,2018,1611.405151
