"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.1,,
"AUT","Austria","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.2,,
"BEL","Belgium","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.8,,
"CAN","Canada","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7,,
"CZE","Czech Republic","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.9,,
"DNK","Denmark","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.5,,
"FIN","Finland","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.9,,
"FRA","France","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.7,,
"DEU","Germany","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.3,,
"GRC","Greece","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,5.8,,
"HUN","Hungary","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6,,
"ISL","Iceland","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.6,,
"IRL","Ireland","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7,,
"ITA","Italy","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.5,,
"JPN","Japan","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.1,,
"KOR","Korea","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,5.8,,
"LUX","Luxembourg","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.4,,
"MEX","Mexico","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6,,
"NLD","Netherlands","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.5,,
"NZL","New Zealand","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.3,,
"NOR","Norway","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.3,,
"POL","Poland","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.1,,
"PRT","Portugal","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,5.8,,
"SVK","Slovak Republic","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.5,,
"ESP","Spain","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.5,,
"SWE","Sweden","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.3,,
"CHE","Switzerland","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.5,,
"TUR","Türkiye","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,4.9,,
"GBR","United Kingdom","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.8,,
"USA","United States","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7,,
"BRA","Brazil","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.1,,
"CHL","Chile","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.2,,
"EST","Estonia","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.5,,
"ISR","Israel","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.2,,
"LVA","Latvia","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.2,,
"RUS","Russia","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,5.5,,
"SVN","Slovenia","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.5,,
"ZAF","South Africa","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,4.9,,
"OECD","OECD - Total","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.7,,
"AUS","Australia","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.1,,
"AUT","Austria","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.1,,
"BEL","Belgium","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.9,,
"CAN","Canada","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7,,
"CZE","Czech Republic","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.9,,
"DNK","Denmark","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.4,,
"FIN","Finland","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.7,,
"FRA","France","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.8,,
"DEU","Germany","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.4,,
"GRC","Greece","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6,,
"HUN","Hungary","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.3,,
"ISL","Iceland","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.4,,
"IRL","Ireland","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.9,,
"ITA","Italy","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.4,,
"JPN","Japan","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,5.9,,
"KOR","Korea","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,5.4,,
"LUX","Luxembourg","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.4,,
"MEX","Mexico","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.3,,
"NLD","Netherlands","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.6,,
"NZL","New Zealand","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.1,,
"NOR","Norway","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.3,,
"POL","Poland","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.3,,
"PRT","Portugal","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6,,
"SVK","Slovak Republic","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.5,,
"ESP","Spain","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.4,,
"SWE","Sweden","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.3,,
"CHE","Switzerland","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.5,,
"TUR","Türkiye","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,4.3,,
"GBR","United Kingdom","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.7,,
"USA","United States","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7,,
"BRA","Brazil","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.2,,
"CHL","Chile","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.2,,
"EST","Estonia","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.3,,
"ISR","Israel","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,7.2,,
"LVA","Latvia","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.3,,
"RUS","Russia","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,5.3,,
"SVN","Slovenia","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.5,,
"ZAF","South Africa","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,4.9,,
"OECD","OECD - Total","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.7,,
"AUS","Australia","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.2,,
"AUT","Austria","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.3,,
"BEL","Belgium","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.8,,
"CAN","Canada","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7,,
"CZE","Czech Republic","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.9,,
"DNK","Denmark","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.6,,
"FIN","Finland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,8.1,,
"FRA","France","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.7,,
"DEU","Germany","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.3,,
"GRC","Greece","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,5.6,,
"HUN","Hungary","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,5.8,,
"ISL","Iceland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.7,,
"IRL","Ireland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.2,,
"ITA","Italy","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.5,,
"JPN","Japan","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.3,,
"KOR","Korea","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.2,,
"LUX","Luxembourg","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.4,,
"MEX","Mexico","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,5.6,,
"NLD","Netherlands","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.4,,
"NZL","New Zealand","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.4,,
"NOR","Norway","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.3,,
"POL","Poland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6,,
"PRT","Portugal","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,5.6,,
"SVK","Slovak Republic","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.6,,
"ESP","Spain","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.6,,
"SWE","Sweden","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.3,,
"CHE","Switzerland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.5,,
"TUR","Türkiye","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,5.4,,
"GBR","United Kingdom","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.9,,
"USA","United States","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.1,,
"BRA","Brazil","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6,,
"CHL","Chile","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.1,,
"EST","Estonia","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.6,,
"ISR","Israel","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,7.2,,
"LVA","Latvia","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.2,,
"RUS","Russia","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,5.6,,
"SVN","Slovenia","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.4,,
"ZAF","South Africa","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,5,,
"OECD","OECD - Total","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.7,,
"AUS","Australia","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.4,,
"AUT","Austria","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.6,,
"BEL","Belgium","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.2,,
"CAN","Canada","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.3,,
"CZE","Czech Republic","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.6,,
"DNK","Denmark","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.6,,
"FIN","Finland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,8.5,,
"FRA","France","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7,,
"DEU","Germany","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.8,,
"GRC","Greece","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.5,,
"HUN","Hungary","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.9,,
"ISL","Iceland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.8,,
"IRL","Ireland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.3,,
"ITA","Italy","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.1,,
"JPN","Japan","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.5,,
"KOR","Korea","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.3,,
"LUX","Luxembourg","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.8,,
"MEX","Mexico","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7,,
"NLD","Netherlands","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.8,,
"NZL","New Zealand","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.3,,
"NOR","Norway","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.4,,
"POL","Poland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.6,,
"PRT","Portugal","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.7,,
"SVK","Slovak Republic","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.9,,
"ESP","Spain","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.1,,
"SWE","Sweden","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.6,,
"CHE","Switzerland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.6,,
"TUR","Türkiye","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,5.8,,
"GBR","United Kingdom","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.2,,
"USA","United States","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.5,,
"BRA","Brazil","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.9,,
"CHL","Chile","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.9,,
"EST","Estonia","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7,,
"ISR","Israel","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.5,,
"LVA","Latvia","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,6.6,,
"RUS","Russia","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,5.9,,
"ZAF","South Africa","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,5.6,,
"OECD","OECD - Total","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.2,,
"AUS","Australia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7,,
"AUT","Austria","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.2,,
"BEL","Belgium","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.7,,
"CAN","Canada","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.9,,
"CZE","Czech Republic","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.9,,
"DNK","Denmark","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.5,,
"FIN","Finland","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.9,,
"FRA","France","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.7,,
"DEU","Germany","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.2,,
"GRC","Greece","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,5.7,,
"HUN","Hungary","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6,,
"IRL","Ireland","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7,,
"ITA","Italy","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.7,,
"JPN","Japan","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.1,,
"KOR","Korea","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,5.5,,
"LUX","Luxembourg","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.3,,
"MEX","Mexico","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.2,,
"NLD","Netherlands","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.4,,
"NZL","New Zealand","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.2,,
"NOR","Norway","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.2,,
"POL","Poland","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6,,
"PRT","Portugal","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6,,
"SVK","Slovak Republic","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.4,,
"ESP","Spain","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.7,,
"SWE","Sweden","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.2,,
"CHE","Switzerland","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.4,,
"TUR","Türkiye","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,4.8,,
"GBR","United Kingdom","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.7,,
"USA","United States","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.9,,
"BRA","Brazil","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.4,,
"CHL","Chile","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.1,,
"EST","Estonia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.1,,
"ISR","Israel","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,7.2,,
"LVA","Latvia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6,,
"RUS","Russia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,5.3,,
"SVN","Slovenia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.5,,
"ZAF","South Africa","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,4.9,,
"OECD","OECD - Total","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.6,,
"COL","Colombia","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,5.7,,
"LTU","Lithuania","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.4,,
"COL","Colombia","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,5.7,,
"LTU","Lithuania","SW_LIFS","Life satisfaction","L","Value","MN","Men","AVSCORE","Average score","0","Units",,,6.6,,
"COL","Colombia","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,5.7,,
"LTU","Lithuania","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","Units",,,6.2,,
"COL","Colombia","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.1,,
"LTU","Lithuania","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","Units",,,7.2,,
"COL","Colombia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,5.7,,
"LTU","Lithuania","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","Units",,,6.2,,
